District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),Temp_Range,Humidity_Range,Wind_Range,Avg_Temp,Avg_Humidity,Month,Day,Year,Temp_Humidity_Range,AvgTemp_AvgHumidity,WindInteraction,precipitation,precipitation_flag
Nagarkurnool,2025-01-10,0.0,15.265,28.06,49.295,95.87,0.0699999999999999,9.64,12.795000000000002,46.575,9.57,21.6625,72.58250000000001,1.0,10.0,2025,595.9271250000002,1572.3184062500004,92.2548,0.0,0
Nalgonda,2025-01-10,0.0,16.1375,29.1625,49.140625,95.9875,0.0,6.928125,13.025000000000002,46.846875,6.928125,22.65,72.5640625,1.0,10.0,2025,610.1805468750001,1643.576015625,47.99891601562499,0.0,0
Narayanpet,2025-01-10,0.0,15.069230769230767,28.892307692307693,46.3,92.64615384615384,0.1461538461538461,9.6,13.823076923076924,46.346153846153854,9.453846153846156,21.98076923076923,69.47307692307692,1.0,10.0,2025,640.6464497041421,1527.071671597633,90.75692307692312,0.0,0
Nirmal,2025-01-10,0.0,12.242105263157894,29.01052631578948,32.06842105263158,91.8736842105263,0.0,7.763157894736842,16.76842105263158,59.80526315789473,7.763157894736842,20.626315789473686,61.97105263157894,1.0,10.0,2025,1002.839833795014,1278.2345013850415,60.26662049861496,0.0,0
Nizamabad,2025-01-10,0.0,14.28181818181818,29.087878787878783,38.47272727272727,92.46060606060604,0.0,4.893939393939394,14.806060606060605,53.98787878787879,4.893939393939394,21.684848484848484,65.46666666666667,1.0,10.0,2025,799.347805325987,1419.6347474747474,23.95064279155188,0.0,0
Peddapalli,2025-01-10,0.0,13.878571428571428,30.75,36.0,95.52857142857144,0.3571428571428571,5.528571428571429,16.871428571428574,59.52857142857144,5.171428571428573,22.314285714285717,65.76428571428572,1.0,10.0,2025,1004.3320408163268,1467.4830612244898,28.59061224489797,0.0,0
Rajanna Sircilla,2025-01-10,0.0,13.015384615384615,28.23076923076923,37.50769230769231,97.56153846153846,0.0,6.3769230769230765,15.215384615384616,60.05384615384615,6.3769230769230765,20.623076923076923,67.53461538461539,1.0,10.0,2025,913.7423668639052,1392.7715680473375,40.66514792899408,0.0,0
Rangareddy,2025-01-10,0.0,14.411111111111111,28.666666666666668,42.65555555555556,93.08888888888887,0.1518518518518518,10.544444444444444,14.255555555555556,50.43333333333333,10.392592592592592,21.53888888888889,67.87222222222222,1.0,10.0,2025,718.9551851851852,1461.89225308642,109.58411522633745,0.0,0
Sangareddy,2025-01-10,0.0,13.282142857142857,28.321428571428573,39.48214285714285,93.22142857142856,0.0,6.796428571428572,15.039285714285716,53.73928571428571,6.796428571428572,20.801785714285717,66.35178571428571,1.0,10.0,2025,808.2004719387755,1380.2356281887753,46.191441326530615,0.0,0
Siddipet,2025-01-10,0.0,13.71923076923077,28.023076923076925,37.28846153846154,95.3076923076923,0.0,7.911538461538461,14.303846153846155,58.01923076923077,7.911538461538461,20.871153846153845,66.29807692307692,1.0,10.0,2025,829.898150887574,1383.7173631656804,62.59244082840236,0.0,0
Suryapet,2025-01-10,0.0,16.73478260869565,29.00434782608696,49.7695652173913,94.45652173913044,0.0,5.360869565217391,12.269565217391309,44.686956521739134,5.360869565217391,22.869565217391305,72.11304347826086,1.0,10.0,2025,548.289527410208,1649.1939508506614,28.7389224952741,0.0,0
Vikarabad,2025-01-10,0.0,13.685,28.81,39.47,95.81,0.0,5.845000000000001,15.125000000000004,56.34,5.845000000000001,21.2475,67.64,1.0,10.0,2025,852.1425000000003,1437.1809,34.16402500000001,0.0,0
Wanaparthy,2025-01-10,0.0,16.685714285714287,29.542857142857144,48.035714285714285,93.06428571428572,0.5928571428571429,8.514285714285714,12.857142857142858,45.02857142857143,7.921428571428572,23.114285714285717,70.55,1.0,10.0,2025,578.9387755102041,1630.712857142857,67.44530612244898,0.04,0
Warangal,2025-01-10,0.0,13.7,30.207692307692305,42.315384615384616,98.56923076923076,0.0,5.738461538461538,16.507692307692306,56.25384615384616,5.738461538461538,21.95384615384615,70.4423076923077,1.0,10.0,2025,928.6211834319524,1546.4795857988163,32.92994082840236,0.04,0
Yadadri Bhuvanagiri,2025-01-10,0.0,14.652941176470588,28.65294117647059,44.7,91.85882352941177,0.0,7.741176470588235,14.000000000000004,47.15882352941177,7.741176470588235,21.65294117647059,68.27941176470588,1.0,10.0,2025,660.223529411765,1478.4500865051905,59.925813148788926,0.0,0
Adilabad,2025-01-11,0.0,13.47222222222222,30.06666666666667,40.16666666666666,90.04444444444444,0.0,5.255555555555556,16.59444444444445,49.87777777777777,5.255555555555556,21.76944444444445,65.10555555555555,1.0,11.0,2025,827.6940123456791,1417.311774691358,27.620864197530864,0.0,0
Bhadradri Kothagudem,2025-01-11,0.0,14.373913043478264,30.77391304347826,48.36086956521739,95.52608695652174,0.2043478260869565,4.173913043478261,16.4,47.165217391304346,3.969565217391304,22.57391304347826,71.94347826086957,1.0,11.0,2025,773.5095652173912,1624.0458223062385,16.568620037807182,0.0,0
Hanumakonda,2025-01-11,0.0,16.914285714285715,30.035714285714285,43.207142857142856,96.26428571428572,0.0,7.4071428571428575,13.12142857142857,53.057142857142864,7.4071428571428575,23.475,69.7357142857143,1.0,11.0,2025,696.1855102040817,1637.0458928571431,54.865765306122455,0.0,0
Hyderabad,2025-01-11,0.0,18.34375,29.31875,42.08125,92.9625,1.20625,11.20625,10.975,50.88125000000001,10.0,23.83125,67.521875,1.0,11.0,2025,558.4217187500002,1609.1306835937498,112.0625,0.04,0
Jagtial,2025-01-11,0.0,16.02,29.535000000000004,44.005,95.045,0.0,4.955,13.515000000000004,51.04,4.955,22.777500000000003,69.525,1.0,11.0,2025,689.8056000000003,1583.6056875000004,24.552025,0.0,0
Jangaon,2025-01-11,0.0,16.01666666666667,29.45,46.64166666666667,96.1,0.4416666666666666,9.608333333333333,13.43333333333333,49.458333333333336,9.166666666666666,22.73333333333333,71.37083333333334,1.0,11.0,2025,664.3902777777777,1622.4969444444446,88.07638888888887,0.04,0
Jayashankar,2025-01-11,0.0,14.79090909090909,30.872727272727275,45.63636363636363,97.6,0.3090909090909091,5.318181818181818,16.081818181818186,51.96363636363636,5.00909090909091,22.831818181818186,71.61818181818181,1.0,11.0,2025,835.6697520661158,1635.1733057851238,26.639256198347116,0.04,0
Jogulamba Gadwal,2025-01-11,0.0,18.016666666666666,30.475,51.16666666666666,97.31666666666666,0.4749999999999999,11.916666666666666,12.458333333333332,46.15,11.441666666666666,24.24583333333333,74.24166666666666,1.0,11.0,2025,574.9520833333332,1800.0510763888883,136.34652777777777,0.0,0
Kamareddy,2025-01-11,0.0,15.891666666666666,29.166666666666668,42.15416666666667,95.32083333333333,0.1208333333333333,6.566666666666666,13.275000000000002,53.16666666666666,6.445833333333333,22.52916666666667,68.7375,1.0,11.0,2025,705.7875,1548.59859375,42.327638888888885,0.04,0
Karimnagar,2025-01-11,0.0,16.931250000000002,29.2375,43.725,90.5,0.2125,7.43125,12.30625,46.775,7.21875,23.084375,67.1125,1.0,11.0,2025,575.62484375,1549.2501171875,53.6443359375,0.04,0
Khammam,2025-01-11,0.0,15.447619047619046,31.56190476190476,41.95238095238095,95.72380952380952,0.0,3.8619047619047615,16.114285714285714,53.77142857142857,3.8619047619047615,23.504761904761903,68.83809523809524,1.0,11.0,2025,866.4881632653061,1618.0230385487523,14.914308390022672,0.04,0
Kumuram Bheem,2025-01-11,0.0,13.486666666666668,29.966666666666665,42.35333333333333,94.66,0.0,3.1333333333333333,16.479999999999997,52.30666666666668,3.1333333333333333,21.726666666666667,68.50666666666667,1.0,11.0,2025,862.0138666666667,1488.4215111111114,9.817777777777778,0.04,0
Mahabubabad,2025-01-11,0.0,15.83888888888889,30.422222222222224,46.20555555555556,94.56666666666666,0.0,5.972222222222222,14.583333333333334,48.36111111111111,5.972222222222222,23.13055555555556,70.3861111111111,1.0,11.0,2025,705.2662037037037,1628.0698533950615,35.66743827160494,0.0,0
Mahabubnagar,2025-01-11,0.0,17.34705882352941,29.641176470588235,49.21176470588235,95.12352941176472,0.0176470588235294,6.541176470588235,12.294117647058826,45.91176470588236,6.523529411764706,23.49411764705882,72.16764705882353,1.0,11.0,2025,564.4446366782008,1695.5151903114186,42.671557093425605,0.04,0
